card_number,player_name,team_name,rarity_name,position,variant_type,is_autograph,is_numbered,print_run,product_name,season,source_verified
1,Écusson,Angers SCO,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
2,Yahia Fofana,Angers SCO,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
3,Melvin Zinga,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
4,Carlens Arcus,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
5,Emmanuel Biumla,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
6,Jacques Ekomié,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
7,Cédric Hountondji,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
8,Jordan Lefort,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
9,Lilian Raolisoa,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
10,Himad Abdelli,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
11,Jean-Eudes Aholou,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
12,Haris Belkebla,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
13,Yassin Belkhdim,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
14,Pierrick Capelle,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
15,Jim Allevinah,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
16,Sidiki Cherif,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
17,Justin Kalumba,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
18,Esteban Lepaul,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
