card_number,player_name,team_name,rarity_name,position,variant_type,is_autograph,is_numbered,print_run,product_name,season,competition,source_verified
1,Erling Haaland,Manchester City,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
2,Vinicius Jr.,Real Madrid C.F.,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
3,Kylian Mbappé,Real Madrid C.F.,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
4,Mohamed Salah,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
5,Bukayo Saka,Arsenal FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
6,Harry Kane,FC Bayern München,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
7,Robert Lewandowski,FC Barcelona,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
8,Pedri,FC Barcelona,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
9,Toni Kroos,Real Madrid C.F.,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
10,Kevin De Bruyne,Manchester City,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
11,Antoine Griezmann,Atlético de Madrid,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
12,Rodri,Manchester City,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
13,Son Heung-min,Tottenham Hotspur,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
14,Achraf Hakimi,Paris Saint-Germain,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
15,Marquinhos,Paris Saint-Germain,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
16,Gianluigi Donnarumma,Paris Saint-Germain,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
17,Virgil van Dijk,Liverpool FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
18,Ruben Dias,Manchester City,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
19,Alisson Becker,Liverpool FC,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
20,Manuel Neuer,FC Bayern München,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
21,Folarin Balogun,AS Monaco,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
22,Jude Bellingham,Real Madrid C.F.,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
23,Nicolò Barella,FC Internazionale Milano,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
24,Ronald Araújo,FC Barcelona,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
25,Douglas Luiz,Juventus,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
26,James Tavernier,Rangers F.C.,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
27,Lamine Yamal,FC Barcelona,Base-FS,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
28,Nico Williams,Athletic Club,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
29,Kobbie Mainoo,Manchester United,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
30,Marlon Gomes,FC Shakhtar Donetsk,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
31,Gonçalo Ramos,Paris Saint-Germain,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
32,Cole Palmer,Chelsea FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
33,Ollie Watkins,Aston Villa,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
34,Kevin Zeroli,AC Milan,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
35,Conor Gallagher,Atlético de Madrid,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
36,Gianluca Prestianni,SL Benfica,Base-RC,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
37,Xavi Simons,RB Leipzig,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
38,Morgan Rogers,Aston Villa,Base-FS,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
39,Marc Bernal,FC Barcelona,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
40,Viggo Gebel,RB Leipzig,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
41,Nicolas Jackson,Chelsea FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
42,Jamal Musiala,FC Bayern München,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
43,Quinten Timber,Feyenoord,Base-RC,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
44,Virgil van Dijk,Liverpool FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
45,James Maddison,Tottenham Hotspur,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
46,Nicolò Savona,Juventus,Base-RC,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
47,Phil Foden,Manchester City,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
48,Rodrygo,Real Madrid C.F.,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
49,Declan Rice,Arsenal FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
50,Marcus Rashford,Manchester United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
51,Federico Valverde,Real Madrid C.F.,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
52,Ciro Immobile,S.S. Lazio,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
